Тема обращения,Текст обращения,Время обращения,Имя пользователя - автора обращения,Регион составителя обращения,Текст ответа,Время ответа,Имя пользователя - автора ответа,Оценка клиента
Автокредит,"Моя история ужасная и объяснений этому ужасу не будет наверное. Взяв в кредит в мае 2013 машину по семейным обстоятельствам пришлось продать. Покупатели нашлись иногородние, конечно им и мне хотелось как лучше они деньги я документы, но птс в залоге у банка. Начались переговоры с Москвой и с Пермью, чтобы все оформить в один день. Сначала это было невозможно только через три дня, потом оказалось, что можно, потом снова, что нельзя. Одним словом кормили как могли, но покупатели все равно приехали. Пока я ехала до Перми они поднялись в банк объяснив все ситуацию им отвечают, что все возможно закрывайте кредит с чеком к нам и птс выдадим. По приезду, когда покупатели рассказали об этом я была в шоке (на меня как-будто ведро с помоями вылили).Все так и случилось машина продана, кредит ""почти"" закрыт. Деньги на счету для полного погашения кредита, но будет он погашен согласно графику платежей. Сейчас я не могу заключить сделку по ипотеке, т.к. банк просит справку о закрытии кредита, либо письмо, что клиентом внесена сумма для полного погашения кредита, страховая компания по каско тоже требует справку о закрытии кредита, но она придет после даты списания. Одно непонятно машины нет, птс у банка нет, сумма для полного погашения (кстати в ней уже проценты за этот месяц) есть она некуда не исчезнет, а какую-то бумажку с двумя предложениями написать нельзя.Сейчас я воюю и с Москвой и с Пермью о предоставлении хоть что-нибудь, чтобы заключить сделку по ипотеке, но у вы кормят завтраками и сроками. Без слез я уже не могу общаться, скоро роды еще чем все это закончится не знаю, боюсь только одного, что квартира уйдет и расходы, которые уплачены по ипотеке пропадут. Чем все закончится напишу позже.",20.11.2013 13:30,9024,Пермь,Оценка перенесена из последующего отзыва.,2013-11-21 15:00:00,Администратор народного рейтинга,3
Ведение в заблуждение клиента,"Добрый день! 12.10.2013 г. №04001592431 в магазине ""Медиа Маркт"" приобрел ноутбук в подарок. Так как я являюсь уже клиентом этого банка, решил обратиться снова. Объяснил консультанту, что беру ноутбук в подарок, попросил рассчитать 0024. Она мне рассчитала, сказала какая сумма платежа, меня в роде бы устроило, но закрались сомнения. Посчитав переплата составляет 16191+19903,29 руб.=36094,94 притом, что я вношу 10% предоплату. Вокруг стал собираться народ тоже оформить кредит в этом банке, Девушка консультант Юлия мило улыбалась и молчала, не рассказывая ничего о тарифном плане. Молча распечатала договор, подала на подпись. Я начал читать, смотрю - переплата огромная, я начал ее спрашивать почему так, она объяснила, что это товар контрафактный, серый, поэтому и такие проценты. После, я смотрю, она подсовывает еще один договор о добровольном страховании, я говорю: это обязательно? Она: да, обязательно, а то вам не одобрен был кредит и вам снизили процентную ставку. Так как я не имею банковского образования, а подарок был нужен, я подписал. И в итоге мне за чем-то включили смс информирование, мне про него вообще не говорили это еще 1176 руб. плюсом, когда я спросил, если я через 2 месяца досрочно погашу, мне консультант Юлия ответила: вам все пересчитают.В итоге к моей сумме, которую банк перевел магазину -10% от 17 990 руб.=16 191 руб., которые я должен был погасить прибавили Страховую премию 1000 руб., прибавили 1176 руб. СМС информатор прибавили Страховку Добровольного страхования 4390.45 руб. Итого общая сумма кредита составляет 22757,45. в место 16191+%. Так вот я хочу отказаться от Страховки, прощу сообщить и прислать заявление расторжении договора о добровольном страховании и смс Информирования в связи с некомпетентность консультанта и не сообщении, что это добровольное согласие, а не обязательное, как он сказала. И провесить перерасчет. По первому кредиту претензий нет, брал в МВидео телефон консультант грамотный посчитала все оформила без страховки без информирования. Я как полагается плачу за 10 дней, а в этот раз обидели как дурака.Дополнение от 18.10.13 15:00Добрый День! Сегодня Мне позвонили с Банка Сетелем девушка Кристина, и все объяснила вежливо грамотно. Обслуживание caLL-центра на отлично. Буду надеяться, что все недоразумения исправляться, и у нас будет хорошее сотрудничество. Заявление об отказе от Программы страхование мной было отправлено 18.10.2013 в 13:00 будем ждать ответа. И заявление на отказ от смс информирования, как объяснила Кристина, могу написать на следующей неделе в любом представительстве банка Сетелем. О дальнейшем сотрудничестве с банком буду сообщать.",17.10.2013 21:12,Rik1983,Волгоград,Принимаем итоговую 3.,2013-10-18 15:34:00,Администратор народного рейтинга,3
Хотел досрочно погасить автокредит,"В данном банке хотел погосить досрочно автокредит, сложная жизненная ситуация и пока есть деньги хотел это сделать, так они этого не дают только в течении месяца, т.е я еще должен ждать, хотел обратиться на горячую линию никакого ответа только робот, так же и через сайт. Данный банк вызывает лишь негативную оценку",01.11.2022 19:26,puser-93245819652,Уфа (Республика Башкортостан),"Спасибо за отзыв. В связи с пояснениями банка по ситуации оценку не засчитываем.Изначально отзыв размещался с ""2"", оценку ""4"" перенесли после объединения отзывов.",2022-11-19 01:56:51,Администратор народного рейтинга,4
Неправомерное начисление штрафа,"Заключен договор автокредита № 041****6897 от 25.09.2022 в г. Санкт-Петербург. В течении 21 дня необходимо было отправить копии СТСи ЭПТС в банк через сайт банка. 09.10.2022 в 12:05 документы были отправлены, СТС -2страницы, ЭПТС-3 страницы. В ответ банк отправил письмо, что документы приняты в работу и присвоили номер обращения СВ091022120564. Позвонила в банк на горячую линию 17.10. 2022, для уточнения, всё ли в порядке с документами, на что оператор ответил, что вам будет начислен штраф.Связалась с представителем  банка, с кем подписывала договор, она посоветовала написать обращение в банк с повторной отправкой документов. 17.10.2022. повторно отправила обращение(жалобу) и приложила копии  СТСи ЭПТС. 19.10.2022г На мой электронный адрес пришёл ответ с текстом:"" Залог не согласован, так как  предоставлен неполный пакет документов..... и т.д."" Не совсем понятно о каком согласовании и каком залоге идёт речь? Т.е при повторной отправке снова документы не дошли. Сколько ещё раз я должна отправлять эти документы?Прошу Банк разобраться с неправомерным начислением штрафа. В противном случае оставляю за собой право защищать свои права в суде.",24.10.2022 11:40,user-59578981924,Санкт-Петербург,Спасибо за отзыв.Первоначально отзыв размещался с оценкой «1». В связи с пожеланием автора и клиентоориентированным решением банка принимаем итоговую оценку «4».,2022-10-31 08:52:48,Администратор народного рейтинга,4
Три раза отправлял копию СТС. Издевательство чистой воды,"Автокредит №0410*****00. Три раза отправлял копию СТС в форматах jpeg и pdf, каждый раз ответ приходит только через 5!!! дней и более с результатом ""нечитаемый формат"". Какой нужен формат не уточняется ни в документах, ни в мобильном приложении. С трудом дозвонился в контакт-центр, там зарегистрировали заявку (вопрос: какой нужен формат для копии СТС) и объявили, что ответ будет через 3! дня. Делается всё, чтобы срок предоставления копии СТС прошёл. Но готовьтесь к обращению в ЦБ РФ и в суд.",12.10.2022 11:23,user-613610511005,Москва,Спасибо за отзыв. Пока принимаем отзыв без оценки.09.11.2022 Принимаем оценку «4».,2022-10-13 09:51:12,Администратор народного рейтинга,4
"Повышают процентную ставку, хотя продление КАСКО невозможно","Добрый день!Приобрел машину по автокредиту в банке СЕТЕЛЕМ. Договор номер  0410608****17 февраля 2022 года произошёл страховой случай по КАСКО. Машина до сих пор в сервисном центре у официального дилера и нет решения от страховой будет ли ремонт и в какие сроки.29 июля 2022 истёк срок полиса КАСКО. Заблаговременно 20 июля я обратился в банк номер обращения CL-6134200 с просьбой об отсрочке предоставления полиса, так как на данный момент нет возможности эксплуатировать авто и физической возможности оформления полиса КАСКО.в ответ на обращение и расследования банком, получил ответ о повышении процентной ставки по кредиту.При всем желании оформление полиса сейчас невозможно, машину могут вообще списать в тотал. Представителям банка дозвониться невозможно, только автоответчик.Уважаемые представителя банка вы можете объяснить зачем в данной ситуации сейчас продлевать полис и как это возможно сделать? Или вы просто нашли возможность основываясь на пункт в договоре повысить ставку и этим очень довольны?",07.08.2022 09:22,user-17248842417,Москва,"Спасибо за отзыв. Первоначально он размещался с оценкой ""1"". В связи с пожеланием автора проставляем оценку ""4"".",2022-09-14 18:01:45,Администратор народного рейтинга,4
За 3 года без проблем,"Перед тем как взять автокредит начитался отзывов что мол все так плохо.К сожалению больше банков в салоне не было и пришлось подавать заявку на одобрение в данный банк. Ожидал чего угодно но не хорошего обслуживания, которое в итоге получил.Одобрили сразу, за три года оплат была просрочка на пару дней, банк закрыл глаза.приложение отличное (сейчас только на андроид)поддержка по телефону решает вопросы.если читать договор и соблюдать его, то банк действует строго в рамках того, что вы подписали, без самопроизвола.птс получил на следующий день после погашения кредита без очередей.Единственный косяк, когда оформляли кредит то девушка что то не так посчитала и забила сумму авто который сдавал в трейд ин, ну и через месяц она слезно просила вернуть 10 тысяч, ну я вернул, реально ошиблась.Еще конечно сотрудники в банке не такие приветливые ну и сами отделения так себе выглядят",04.08.2022 13:16,lopukhin,Казань (Республика Татарстан),"Спасибо за отзыв.Уточните, пожалуйста, с каким вопросом вы обращались в поддержку? Укажите дату.Обращаем внимание на то, в Народном рейтинге учитываются отзывы о событиях, которые произошли за последние 400 дней.16.08.2022 Благодарим за дополнения. Так как в отзыве описана проблема, засчитываем итоговую оценку ""4"".",2022-08-09 09:07:11,Администратор народного рейтинга,4
Банк потерял платёж по кредиту,"По графику платёж был 7.02.2022, деньги я перечислил 4.02.2022. Вчера 08.02.2022 обнаружил в приложении просрочку на полную сумму кредита. Я связался с сотрудниками колл-центра и они сообщили мне об ""аресте счёта"" и о том, что деньги на платеж поступили,  но ""они были заморожены приставами"". Это вызвало у меня немалое удивление и я начал проверять свои задолженности на сайте ФССП и налоговой.Задолженностей не обнаружилось и я решил дополнительно заказать справки для предоставления их банку. Тем временем банк занял третью позицию и просит устранит задолженность в течение 3 дней, ссылаясь на штрафы и БКИ. Хотя если счёт арестован, как говорят сотрудники, то никакие операции с ним невозможны, в том числе и платежи по кредиту. Отдельно хотелось бы отметить звонки от банка в 7:55 утра и не важно, робот-автообзвон это звонил или реальный человек.В итоге я пока что ожидаю справки об отсутствии задолженностей от ФССП и налоговой, информацию об арестах и взысканиях от банка для решения данного вопроса. Не исключаю возможность ошибки, приведшей к аресту счёта, как с моей стороны, так и со стороны приставов. Однако продолжать требовать выплат на арестованный счёт считаю некорректным.",09.02.2022 10:15,zooZooz,Казань (Республика Татарстан),"Спасибо за отзыв. Ожидаем окончательного ответа от банка.21.02.2022 Учитывая пожелания автора и подход банка засчитываем итоговую оценку ""4"" вместо оценки ""5"", так как в отзыве описана проблема.",2022-02-09 18:38:32,Администратор народного рейтинга,4
Сетелем Автокредит. Хорошие впечатления.,"Имею автокредит оформленный через сетелем банк, вопросов к банку не имею, пользуюсь мобильным приложением от Сетелем банка, приложение это весьма информативно, даже добавить нечего, всё подробно расписано, всё прозрачно, никаких подводных камней.  Заезжал в офис в Казани в Корстоне, задавал общие вопросы по кредиту, как вносить средства без комиссии, что есть сумма ежемесячного платежа и как заказать дополнительный платёж, всё мне ответили, всё хорошо.Звонил также оператору, уточнял куда и как можно отправить страховку КАСКО, тоже всё по полочкам разложили, есть раздел на сайте, так и называется продление полиса КАСКО, туда прислал ксерокопию и на почту пришёл ответ что они её приняли и всё в порядке. Общение с банком проходит ровно.",29.12.2021 15:30,Astashenkov,Москва,"Добрый день.Спасибо за уделенное время и желание отметить качество предоставляемых Банком услуг посредством данного сайта. Приятно, что Вы оказались довольны обслуживанием и нашим подходом в решении вопросов Клиентов. Уверены, что еще не раз предоставим Вам повод для отличной оценки.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2021-12-30 12:23:51,Сетелем Банк,4
"Не ожидал,  что банк так быстро пойдёт на встречу","Стал клиентом банка три месяца назад, оформил автокредит. На этой неделе захотел досрочно погасить кредит, но мобильное приложение дало сделать заказ только через 30 дней!Пытался позвонить в юанк, но ждать 10 минут на линии не захотел, написал на банки.ру как посоветовал друг.Со мной сразу же связался специалист банка, объяснила почему я могу погасить кредит только через 30 дней, но все равно вошла в моё положение и дату поменяла на сегодня!Спасибо большое специалисту Юле и банки.ру за такой крутой сервис!!",24.11.2021 11:32,Roma1982dan,Москва,"Спасибо за отзыв. Учитывая ситуацию, описанную на Горячей Линии , засчитываем итоговую оценку «4». Сняли балл за ожидание при звонке в банк.",2021-11-25 10:25:56,Администратор народного рейтинга,4
Закрыли кредит досрочно!,"Здравствуйте.Просим досрочно закрыть кредит. Ещё даже первый платёж не совершали. Пропала нужда в деньгах, оператор заставляет ждать месяц отвечая в грубой форме. Чтоб на этот месяц начислили проценты. Прошу Банк учесть мои требования и закрыть полностью кредит, не дожидаясь месяца.И прошу банк дать пояснения, как так выходит: ставка в личном кабинете указана 16,7 а ежемесячный платёж рассчитан по ставке 16,9 годовых.",05.08.2021 09:58,erricss,Пермь (Пермский край),"Спасибо за отзыв. В нашем рейтинге мы не оцениваем заявленные условия предоставления продуктов и услуг.18.08.2021 Учитывая подход банка и пожелания автора засчитываем оценку ""4"".",2021-08-14 09:47:24,Администратор народного рейтинга,4
"Банк не очень, сотрудники очень грамотные","Хочу выразить благодарность одному из представительства этого банка. 16 июля 2021 года обратилась к сотруднику в офис, у меня автокредит и нужно доказывать, что я продлила КАСКО. Смутил меня факт предоставления чека об оплате, я до сих пор не поняла этого идиотизма... Но осталось у меня позитивное настроение от общения с сотрудниками, а конкретнее о П-ко Ольге, отчество не запомнила. Девочка живая, все грамотно сделала, в плане, помогла мне выбрать все документы которые нужно было предоставить в банк. Ни единой задержке или хамства. Все грамотно, чётко и по делу. За мой опыт общения с сотрудниками данной организации, единственный специалист, к которому нет ни претензий ни нареканий. Побольше бы  таких специалистов в данном банке. Ставлю оценку 5, только из-за этой девушки. А по всем остальным 2.",17.07.2021 23:29,olg4488,Москва,Спасибо за отзыв. Засчитываем итоговую оценку 4.,2021-07-28 14:56:44,Администратор народного рейтинга,4
Назначили штраф и отменили,"Добрый день!После получения автокредита неожиданно пришло смс, что я оштрафован на 10000 руб за несвоевременное предоставление документов о регистрации автомобиля в банк, хотя документы подтверждающие регистрацию автомобиля я предоставил представителю банка в автосалоне.После обращения в банк, сотрудники банка достаточно быстро разобрались с проблемой и штраф был отменен.",08.07.2021 09:59,9*******@gmail.com,Санкт-Петербург,"Спасибо за отзыв. Принимаем итоговую оценку ""4"" вместо оценки ""5"", так как в отзыве описана проблема.",2021-07-14 16:15:43,Администратор народного рейтинга,4
Отзыв на работу с обращением клиента,"Получила СМС от банка об увеличении ставки по автокредиту в связи с неполучением полиса КАСКО на 3-й год кредитования. Хотя ранее два раза направляла полис КАСКО на эл. почту банка. Первый раз попросили прислать квитанцию об оплате, на второй раз отправки всех документов ответа от банка не последовало. После получения СМС пыталась дозвониться в банк, но безуспешно. Приехала в офис, зарегистрировали обращение, попросили отправить такое же обращение через сайт банка. Через несколько дней получила отчет, что документы получены и ставка по кредиту прежняя. Вопрос решен, но дозвониться в банк невозможно, а посещение офиса занимает время.",16.06.2021 17:57,i.klebanova,Москва,"Спасибо за отзыв. Расскажите, пожалуйста, подробности по ситуации с указанием всех дат и направьте на наш адрес responses@banki.ru фото первой страницы договора. А чтобы мы смогли вас идентифицировать, письмо нужно отправить с адреса, зарегистрированного на портале. В письме также укажите ссылку на отзыв.22.07.2021 Оценку засчитываем с учетом дополнительной информации полученной от автора.",2021-06-22 18:59:27,Администратор народного рейтинга,4
Банк оперативно решил проблему,"Добрый день!Хочу выразить благодарность службе поддержки, которая разобралась в сложившейся ситуации, и отменила выставленный штраф за непредоставление документов.Однако, не могу поставить 5, т.к. проблему с которой пришлось разбираться, создал сотрудник банка, которому я предоставил своевременно документы. Свидетельство о регистрации автомобиля я предоставил представителю банка в автосалоне и был спокоен, но по истечении срока, в течении которого я должен представить документы, пришло сообщение от банка, что мне выставлен штраф.",11.06.2021 14:30,Alexei.spb,Санкт-Петербург,"Добрый день.По условиям Договора Вам необходимо в течение 21 дня со дня оформления Договора передать в Банк копии СТС или выписки из электронного ПТС, в случае нарушения обязательства Банк вправе начислить неустойку. Документы необходимо было предоставить в Банк до 15.05.2021.20.05.2021 к нам в работу поступило Ваше обращение, в ходе проверки по которому стало известно, что Вы своевременно предоставили сотруднику Банка СТС, документ не был получен уполномоченным отделом. Описанная ситуация сложилась в связи с кратковременными сложностями. Мы всегда стремимся оперативно исправлять подобные ситуации.Поскольку Вы исполнили обязательство по предоставлению полного пакета документов, Банк принял положительное решение по Вашему обращению-не начислять неустойку.Вне зависимости от оценки, нам важно Ваше мнение и мы сожалеем, что с Вами произошла подобная ситуация. В свою очередь хотим отметить, что уровень нашего сервиса, согласно данным внутренней статистики находится на высоком уровне и продолжает расти. Мы уделяем особое внимание качеству нашего обслуживания!Рады, что смогли Вам помочь! Хорошего Вам дня!С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2021-06-11 14:43:46,Сетелем Банк,4
Досрочное погашение,"Потребовалось погасить автокредит досрочно. Весь предыдущий период кредит выплачивался без просрочек и в полном объёме. В предыдущую покупку авто (в другом банке брался кредит) досрочно закрыли кредит в день обращения без проволочек, но в этом банке внезапно обозначились 30 дней для уведомления, о которых ни слова в договоре.Ко всему прочему при обращении в колл-центр ни один из операторов не мог сказать сумму погашения- она всегда разнилась с тем, что указано в графике платежей. Оператор Алина вообще бросила трубку.  В офисе обслуживания на Испытателей сотрудник сказал, что можно закрыть раньше чем через 30 дней, но надо написать в офисе заявление. Я так и сделал, но до сих пор оно не рассмотрено. Деньги на погашение кредита и процентов давно на счету. Надеюсь на клиентоориенированность банка, но пока впечатления негативные.",06.06.2021 16:38,YuMan,Санкт-Петербург,"Спасибо за отзыв. Первоначально он размещался без оценки. На основании комментария автора от 10.06.2021 15:43 проставляем оценку ""4"".",2021-06-10 20:05:27,Администратор народного рейтинга,4
Досрочное погашение,"Ставлю отрицанию оценку банку за отвратительный сервис, до службы поддержки не дозвонится ответили только в соц сетях. На встречу клиентам не идут.Суть претензии в том что понадобилось срочно погасить кредит за авто, что бы продать его, выбрал в в приложении досрочное погашени, а тут сюрприз оказывается что досрочное погашение возможно только через месяц, ссылаются на ФЗ, но какой в этом смысл не пойму, тот же Сбербанк закрывает кредит в тот же день, вообще я не доволе банком.",02.06.2021 16:21,89618909013,Томск (Томская область),Спасибо за отзыв.В связи с пожеланием автора проставляем оценку «4».,2021-06-04 12:00:46,Администратор народного рейтинга,4
Вопрос решили за несколько часов,"Заказывала через электронную почту копию птс машины. 8 дней не было ответа, после того как задала вопрос, вбанки.ру, сколько ждать, через несколько часов прислали документ. Спасибо, что так быстро отреагировали и решили мой вопрос.Потом позвонила сотрудница банка и спросила о проблеме . Я ответила что все получила и вопрос решен.В остальном банком довольна и не раз пользуюсь их услугами.",21.05.2021 11:44,08642,Москва,Спасибо за отзыв. В соответствии с п.3.9.1. Правил Народного рейтинга снимаем балл и засчитываем оценку 4.,2021-05-28 17:55:41,Администратор народного рейтинга,4
Досрочное погашение кредита,"Потребовалось погасить автокредит досрочно. Заявка была принята на второй день возможно благодаря созданию обращения с проблемой.Согласно правилам банка досрочное погашение можно выполнить через 30 дней после уведомления. Два раза обращался с просьбой перенести закрытие договора на более раннюю дату.  Очень жаль, но положительного решения я так и не получил, хотя ранее проблем при взаимодействии с банком не возникало.",16.05.2021 17:42,jackstoun,Москва,"Изначально отзыв был размещен без оценки. Так как в нем описана проблема, засчитываем итоговую оценку ""4"".",2021-05-25 11:11:21,Администратор народного рейтинга,4
Благодарность,"Руководитель Московского подразделения на Правды д.26 Ф-ва ,крайне профессиональный менеджер ! Отзывчивый ! Любой вопрос решает моментально! Благодарны ей! К сожалению нет больше отделений в остальном все хорошо.Желаем им развиваться и процветать! Кол-центру нужно наладить работу с клиентами, невозможно дозвониться парой.",13.05.2021 14:48,Ilya7777777,Москва,н/д,н/д,н/д,4
О начислении штрафа,"Пришло сообщение от банка о начислении штрафа за несвоевременно поданую копию СТС после оформления автокредита, хотя копия была предоставлена в положенный срок.В банке внимательно проанализировали ситуацию, и начисленый штраф был отменён. Благодарю сотрудников банка за внимательное отношение к клиенту и правильно принятое решение!",07.05.2021 12:21,Andrey Tananov,Москва,н/д,н/д,н/д,4
Благодарность,"Благодарность сотруднику Сетелем банка занимающегося обращением клиентов по горячей линии. Оператор вежлив, приветлив, ответил на все вопросы  и как это сделать, вернуть остаток денежных средств на счёте быстро, при обращении в банк своего города сотрудники Сетелем банка не помогли.Качество обслуживания банка именно при связи оператора по горячей линии очень хорошее. Спасибо за помощь.",15.04.2021 18:01,Zxcvbячсми,Москва,"Спасибо за отзыв. Уточните, с каким вопросом вы обратились к сотруднику, чем конкретно он вам помог?22.04.2021 - Принимаем итоговую оценку ""4"" вместо оценки ""5"", так как в отзыве описана проблема.",2021-04-20 12:02:24,Администратор народного рейтинга,4
Снятие штрафных санкция за непредставление ПТС,"Выражаю благодарность администрации банка за отмену штрафа в размере 10 тыс рублей за не своевременную передачу ПТС в банк. Оперативно связались, вникли в проблему, подтвердили своевременность представления ПТС. Штраф сняли. Оператор вежлив, тактичен, приветлив. Ответила на все вопросы, в том числе о возможности частичного досрочного погашения. Спасибо.",15.04.2021 14:07,Andrej_B,Москва,н/д,н/д,н/д,4
Решение проблемы,"Хочу поблагодарить сотрудников Сетелем банка занимающихся расследованием обращений клиентов . Ситуация у меня сложилась интересная, оформив автокредит в банке Сетелем меня предупредили что в течени 20 дней я обязан предоставить копии СТС в банк, что я и сделал лично посетив отделение .В отделение банка мне помогли и все приняли , Спасибо сотруднику Надежде. Но произошёл какой-то сбой и документы не зарегестрировались.Я на всякий случай ещё раз отправил копию через сайт , но на сайте к сожалению плохая инструкция и я отправил только часть документа . И по истечению 20 дней мне все равно выставили штраф. Письменное обращение с просьбой разобрать быстро нашёл отклик и штраф был снят. Спасибо банку за человеческое и быстрое решение проблемы.",15.04.2021 14:04,Warlok,Нижний Новгород (Нижегородская область),"Спасибо за отзыв!Принимаем итоговую оценку ""4"" вместо оценки ""5"", балл снимаем за технический сбой.",2021-04-20 08:49:11,Администратор народного рейтинга,4
Обращение,"Взял у них автокредит и соответственно это было первое обращение. Почему то банк написал, что я не отправил им  СТС   или ПТС автомобиля, хотя я отправил его представителям банка в автосалоне.  И на данный момент банк оставил положительное впечатление, рассмотрел моё обращение в кратчайшие сроки, подтвердил, что документы мои они получили, штраф с меня сняли и естественно меня это очень обрадовало. Посмотрю ещё как среагируют на одно обращение по погашению кредита, возвращению лишних средств отправленных в Сетелем банк и дополню отзыв, пока четверка твёрдая!",09.04.2021 17:42,nikk1811,Москва,Спасибо за отзыв! Пока нам не хватает фактов для зачета положительной оценки. Вы можете дополнить отзыв конкретными примерами качественного обслуживания здесь или написать нам на responses@banki.ru.22.04.2021 оценка зачтена.,2021-04-14 22:19:33,Администратор народного рейтинга,4
